Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jun 04 2021,SPXW210604C04160000,80.98,7.98,84.3,84.9,2,0.1486,0.5108,0.0019,15,4160.00,SPXW210604P04160000,84.62,-17.33,84,84.6,7,0.1399,-0.4897,0.002,36
Fri Jun 04 2021,SPXW210604C04165000,79.26,8.96,81.3,81.9,2,0.1474,0.5014,0.0019,3,4165.00,SPXW210604P04165000,109.2,0,85.9,86.5,0,0.1387,-0.4997,0.002,26
Fri Jun 04 2021,SPXW210604C04170000,80.4,12.8,78.3,78.9,3,0.1464,0.4919,0.0019,107,4170.00,SPXW210604P04170000,85.38,-21.12,87.9,88.6,1,0.1377,-0.5099,0.002,17
Fri Jun 04 2021,SPXW210604C04175000,77.62,12.62,75.4,76,4,0.1453,0.4822,0.0019,11,4175.00,SPXW210604P04175000,112.39,3.54,90,90.6,2,0.1364,-0.5202,0.002,22
Fri Jun 04 2021,SPXW210604C04180000,69.51,7.11,72.5,73.1,1,0.1441,0.4724,0.0019,49,4180.00,SPXW210604P04180000,116.4,0,92.1,92.8,0,0.1354,-0.5306,0.002,10
Fri Jun 04 2021,SPXW210604C04185000,0,0,69.7,70.3,0,0.1432,0.4625,0.0019,0,4185.00,SPXW210604P04185000,113.83,0,94.3,95,0,0.1345,-0.5412,0.002,6
Fri Jun 11 2021,SPXW210611C04150000,96.11,0,98.5,99.2,0,0.1535,0.5278,0.0017,36,4150.00,SPXW210611P04150000,97.52,-8.63,88.7,89.3,42,0.1453,-0.4718,0.0018,18
Fri Jun 11 2021,SPXW210611C04160000,90.78,0,92.3,92.9,0,0.1513,0.5109,0.0017,9,4160.00,SPXW210611P04160000,93.57,-16.88,92.5,93.1,4,0.1431,-0.4897,0.0018,17
Fri Jun 11 2021,SPXW210611C04170000,84.6,9,86.3,86.9,3,0.1492,0.4936,0.0017,10,4170.00,SPXW210611P04170000,97.57,-17.38,96.4,97,1,0.141,-0.508,0.0018,13
Fri Jun 11 2021,SPXW210611C04175000,0,0,83.4,84,0,0.1482,0.4848,0.0017,5,4175.00,SPXW210611P04175000,102.9,-14.35,98.5,99.1,6,0.14,-0.5173,0.0018,0
Fri Jun 11 2021,SPXW210611C04180000,76.28,0,80.5,81.1,0,0.1471,0.4758,0.0017,5,4180.00,SPXW210611P04180000,129.14,0,100.6,101.2,0,0.139,-0.5268,0.0018,17
Fri Jun 11 2021,SPXW210611C04190000,0,0,74.9,75.5,0,0.1452,0.4577,0.0018,12,4190.00,SPXW210611P04190000,109.7,-14.9,105,105.6,2,0.1369,-0.546,0.0019,3
Fri Jun 18 2021,SPXW210618C04165000,93.88,8.28,96.5,97,55,0.1524,0.5021,0.0016,61,4165.00,SPXW210618P04165000,105.29,-15.81,102.9,103.4,2,0.1449,-0.499,0.0017,73
Fri Jun 18 2021,SPX210618C04170000,95.28,13.13,92.8,93.4,420,0.1508,0.4939,0.0016,7663,4170.00,SPX210618P04170000,102.07,-20.73,104.2,104.9,364,0.1436,-0.5075,0.0017,7620
Fri Jun 18 2021,SPXW210618C04170000,94.61,11.81,93.5,94,48,0.1515,0.494,0.0016,247,4170.00,SPXW210618P04170000,101.66,-21.74,104.9,105.4,6,0.144,-0.5075,0.0017,77
Fri Jun 18 2021,SPX210618C04175000,91.96,12.51,90,90.5,286,0.1498,0.4857,0.0016,12881,4175.00,SPX210618P04175000,102.9,-22.2,106.3,106.9,3,0.1425,-0.5162,0.0017,6431
Fri Jun 18 2021,SPXW210618C04175000,92.71,12.61,90.6,91.1,245,0.1508,0.4859,0.0016,400,4175.00,SPXW210618P04175000,104.13,-21.57,107,107.5,5,0.1431,-0.516,0.0017,53
Fri Jun 18 2021,SPX210618C04180000,88.88,12.03,87,87.6,11,0.1489,0.4774,0.0016,4092,4180.00,SPX210618P04180000,113.91,-13.49,108.4,109.1,4,0.1416,-0.5249,0.0017,3111
Wed Jun 30 2021,SPXW210630C04160000,100.7,2.4,109.6,110.4,13,0.1543,0.5105,0.0014,124,4160.00,SPXW210630P04160000,116.64,-12.86,111.7,112.4,1,0.1474,-0.4901,0.0015,57
Wed Jun 30 2021,SPXW210630C04165000,98.7,3.25,106.6,107.3,50,0.1533,0.5033,0.0014,103,4165.00,SPXW210630P04165000,0,0,113.7,114.4,0,0.1467,-0.4977,0.0015,7
Wed Jun 30 2021,SPXW210630C04170000,106.05,0,103.7,104.3,0,0.1523,0.496,0.0014,45,4170.00,SPXW210630P04170000,117.79,0,115.6,116.4,0,0.1454,-0.5054,0.0015,67
Wed Jun 30 2021,SPXW210630C04175000,86.55,0,100.7,101.3,0,0.1516,0.4886,0.0014,3540,4175.00,SPXW210630P04175000,118.7,-17.35,117.7,118.4,4,0.1447,-0.5131,0.0015,1398
Wed Jun 30 2021,SPXW210630C04180000,0,0,97.8,98.4,0,0.1505,0.4811,0.0015,126,4180.00,SPXW210630P04180000,138.63,0,119.7,120.5,0,0.1438,-0.5209,0.0015,7
Wed Jun 30 2021,SPXW210630C04185000,0,0,94.9,95.5,0,0.1496,0.4736,0.0015,38,4185.00,SPXW210630P04185000,0,0,121.8,122.6,0,0.1429,-0.5288,0.0015,0
